"*","Colx (After Hans leaves)"
"e502","<X1e>ジーラ<X04>
わしは 古くから伝わる伝説を
知っているのじゃ。
その伝説を 教えてやろう。

かつて この地上には 神々が住み
光の時代が続いておった。

しかし、ある日 突然
悪神アグニージャが 地上に現れ
地上は やみの光に包まれ、神々は
天空にお逃げになったのじゃ。

それから しばらくの間 暗黒の時代が続いたが やがて それも終わりを告げ天空に逃げた神々は 自分たちに
似た人を 地上においたのじゃ。

そして 神は人に アグニージャの
復活と 英雄の出現を 予言され
再び 地上に降りることは
なくなったのじゃ。

もう１つ 水晶の塔は 古代文明の
遺跡なのじゃ。","<X1e>Jira<X04>
Let me tell you a story from
ancient times.

Long ago, in the Age of Light,
the gods dwelt upon our world.

But there came a day when the
demon Agnija appeared. The world
was veiled in dark light, and the
gods fled into the heavens.

Yet the long and dreadful Age of
Darkness had its end as well.
And the departed gods put people
like themselves upon the earth.

They foretold that when Agnija
returns, heroes will appear,
and that devastation will never
again recur.

The Crystalspire is one remnant ofthat ancient civilization."
"e710","<X1e>男<X04>
やっぱり 人間にとって
一番大切なのは 睡眠だよな。<IF0408><JUMPe753><IF0409><JUMPe753><END>
<LOCe753><SET0400>

お前らも 寝てみろよ 頭が
すっきりするぞ。","<X1e>Man<X04>
Sleep really is people's most
important need.<IF0408><JUMPe753><IF0409><JUMPe753><END>
<LOCe753><SET0400>

Get some sleep! You'll feel much
better afterwards."
"e781","<X1e>男<X04>
なっ 頭が すっきりしただろ？","<X1e>Man<X04>
Well? Don't you feel better now?"
"e7a3","<X1e>男<X04>
ありがとうございました。
でも 何もお礼が できないんです
ごめんなさい。","<X1e>Man<X04>
Thank you for everything.
I'm so sorry I can't do anything
to repay you."
"e7ef","<X1e>男<X04>
ど、どうも ありがとうございました
おかげで 命だけは 助かりました。

<LEADERea52,ea7c,ea52,eaaa,eadb>

<X1e>男<X04>
それが よく わからないんです ･ ･ ･

さっき ファンガスの町で
黄金のカードを 買ったんです。
そしたら 突然 奴らが現れて
そのカードをよこせと言うんですよ。

そんなこと言ったって せっかく
７万Gold も出して買った物なのに
あげられるわけ ないじゃないかと
いろいろ文句を言ってたんです。

その時 ちょうど あなたたちが
来たというわけです。

でも 無理やり
持っていかれちゃいましたよ。
高かったのに ･ ･ ･

でも 命には かえられませんから
あきらめます。
なんといっても 相手は
バケモノですからね。

それにしても 本当に
ありがとうございました。","<X1e>Man<X04>
T-Thank you! Thank you so much!
You saved my life!

<LEADERea52,ea7c,ea52,eaaa,eadb>

<X1e>Man<X04>
I'm not really sure...

I bought a Golden Card in Fangath
a while ago. And then those guys
suddenly appeared, demanding that
I hand over the Card.

I was telling them there's no way
I'd give up something I just paid
70,000 gold for, and stuff like
that.

And right then is when you all
showed up.

But they grabbed the Card from me!I paid so much for it...

But it's not worth my life, so I
have to let it go. Those were
monsters, after all.

No matter what, I'm truly gratefulfor your help."
"ea52","どうして バケモノなんかに
襲われたんだ ？<RET_IL>","Why were monsters attacking you?<RET_IL>"
"ea7c","どうして バケモノなんかに
襲われたんですか ？<RET_IL>","Why would monsters be attacking
you?<RET_IL>"
"eaaa","おめえ 何したんだ ？
バケモノになんか 襲われて。<RET_IL>","What's goin' on? Why the monsters?<RET_IL>"
"eadb","なんで バケモノなんかに
襲われたの ？<RET_IL>","Why were you being attacked by
monsters?<RET_IL>"
"eb01","<X1e>補佐官<X04>
きみきみ ハンス大統領に 何か用でもあるのかね？

残念だが ハンス大統領は バケモノの討伐に出られた。
しばらくは 戻らないだろう。<SET01f5>","<X1e>Aide<X04>
Do you gentlemen have business
with President Hans?

I'm afraid the President is out
dealing with the monsters, and maybe away for some time.<SET01f5>"
"eb8b","<X1e>役人<X04>
もう、なんで わざわざ 大統領が
バケモノを 退治しに行くんだろう。

おかげで こんなに たくさんの仕事がたまっちゃって 大変だよ。
今日も残業しなくちゃ。","<X1e>Clerk<X04>
Why is the President out
exterminating monsters?

The paperwork is piling up here!
I have to work overtime again
today!"
"ec26","<X1e>役人<X04>
ここは 大統領専用の寝室だ
むやみに立ち入っては ならん。","<X1e>Clerk<X04>
This is the President's private
bedroom. Please don't just wander
in on a whim."
"ec65","<X1e>役人<X04>
ふぅ ･ ･ ･ お役所仕事も 疲れるよ。こうやって 一日中 ボーっと
してなけりゃ ならないんだもんな。","<X1e>Clerk<X04>
Yawn... Bureaucracy is exhausting.I have to sit here just staring
at the wall all day."
"eccb","<X1e>役人<X04>
ハンス大統領に もしものことが
あったら どうしましょう。
無事に帰ってくれば いいけど。","<X1e>Clerk<X04>
I don't know what we'll do if
anything happens to the President.I hope he comes back safely."
"ed28","<X1e>女<X04>
役人から 聞いたんだけどさ
この国では 若い娘が たくさん
さらわれているでしょ。

そこで ハンス大統領が 自ら兵を
引き連れて バケモノの討伐に
向かったのよ。

普通、大統領や王子さまって
バケモノ退治なんて 危険なことは
自分からは しないわよね。","<X1e>Woman<X04>
I heard from the clerks that a
lot of young women are being
kidnapped in Moreston.

And that President Hans is
personally leading soldiers to
subdue the monsters.

I don't think Presidents or
Princes normally do dangerous
things like subduing monsters
themselves, do they?"
"ee1a","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。","<X1e>Priest<X04>
Please speak with me whenever
you are troubled."
