"e1d9","<X08>どの 呪文が 欲しいのじゃ？<RETN>","<X08>Which spell do you wish?<RETN>"
"ea38","<X1e>兵士<X04>
ジェルマンさまと お話をするときは
決して 顔を上げては ならんぞ。
必ず うつむいて 話すのだ。","<X1e>Soldier<X04>
You are not to look Prince Jelman
in the eyes when he addresses you.Keep your eyes downcast."
"ea9b","<X1e>兵士<X04>
税の代わりに 取られた物を
返してほしいのか？","<X1e>Soldier<X04>
Are you here to reclaim an
impounded item?"
"eacf","<X1e>兵士<X04>
この間 バーバラばあさんの家から
いろいろな物を 取り上げたんだ。
バチが当らなければ いいけど ･ ･ ･","<X1e>Soldier<X04>
We've seized a number of things
from old Barbara's house lately.
I hope the gods won't be angry..."
"eb38","<X1e>兵士<X04>
<LOCeb3f>リストンさまは 今 接客中だ。
税の話なら また今度にしてくれ。","<X1e>Soldier<X04>
<LOCeb3f>Count Liston is currently with
a guest. If it's about taxes,
come back later."
"eb7c","<X1e>兵士<X04>
<IF0111><JUMPebf2><IF_NOT00f0><JUMPeb3f><IF_NOT0148><JUMPeb3f><IF_NOT0108><JUMPeb3f><IF_NOT0109><JUMPeb3f><SET0111>なに？ バーバラばあさんの使い？
そうか リストンさまは この中に
いらっしゃる。<END>
<LOCebf2>いちいち 言わなくても 知ってるよ
バーバラばあさんの使いだろ。","<X1e>Soldier<X04>
<IF0111><JUMPebf2><IF_NOT00f0><JUMPeb3f><IF_NOT0148><JUMPeb3f><IF_NOT0108><JUMPeb3f><IF_NOT0109><JUMPeb3f><SET0111>What? Old Barbara sent you?
Very well. Count Liston is
inside.<END>
<LOCebf2>You don't have to say any more
about it. It's a message from
Barbara, right?"
"ec30","<X1e>兵士<X04>
あんたたち 竜の卵に 近づくと
竜の怒りに 触れるということは
知ってるか？

ヨルドの港の 聖域に近づいても
竜の怒りに 触れるんだ。
町の人の話だと 稲妻が走って
黒こげに なってしまうんだと。","<X1e>Soldier<X04>
Have you heard that if you go
near a Dragonsegg, you'll 
provoke the wrath of the Dragon?

It's true of the Sanctum in Yold
Harbor too. According to the
townspeople, you get hit by
lightning and fried there."
"ecef","<X1e>兵士<X04>
あんたたち 竜の卵を 知ってるか？

あれに近づくと 竜の怒りに
触れてしまうから
やめておいたほうが いいぞ。

そうか 誰かが 竜を 怒らせたから
バケモノが 沢山いるんだ。

見回りが 終わったら
バーバラばあさんの所に 行って
相談してみよう。","<X1e>Soldier<X04>
Have you heard of Dragonseggs?

You should stay away from them,
or you'll provoke the wrath of
the Dragon.

Hmm. I wonder if there are so
many monsters now because someone
angered the Dragon?

I should go ask Barbara about it
when my watch ends."
"eddb","<X1e>兵士<X04>
なんだ お前たちは？
<PAGE>
そうか 税が払えなくて
兵士になりに 来たのだな？","<X1e>Soldier<X04>
What do you want?
<PAGE>
You're not here to pay taxes?
So you came to enlist, then?"
"ee27","<X1e>兵士<X04>
この町の南には 竜の祭の司祭である
バーバラばあさんの家があるんだ。

バーバラばあさんが 言うには
竜の卵に 近づくと 竜の怒りに
触れてしまうらしい。

でも バーバラばあさんだけは
大丈夫なんだ。","<X1e>Soldier<X04>
An old woman named Barbara, who
leads the Dragonsfete ceremony,
lives in a house south of here.

According to Barbara, you'll
provoke the wrath of the Dragon
if you get close too a Dragonsegg.

But Barbara herself seems to be
safe."
"eeea","<X1e>兵士<X04>
この国では 年に一度 竜の祭という
お祭りがあるんだ。

その時に バーバラばあさんという
司祭さまが 竜の卵に入っていって
竜のお告げを 聞いてくるんだ。","<X1e>Soldier<X04>
Our kingdom has a festival called
the Dragonsfete once a year.

During the festival, an old
priestess named Barbara enters
the Dragonsegg and hears the
voice of the Dragon."
"ef83","<X1e>賢者<X04>
わしは リストンさまに呼ばれて
来ておるのじゃ。
あなたがたにも 呪文を授けよう。

<RET_IL>","<X1e>Sage<X04>
I was called here by Count Liston.But I can teach spells to you as
well.

<RET_IL>"
