"*","Colx (after going to Crystalspire with Ralph)"
"e61f","<X1e>ジーラ<X04>
わしは 古くから伝わる伝説を
知っているのじゃ。
その伝説を 教えてやろう。

かつて この地上には 神々が住み
光の時代が続いておった。

しかし、ある日 突然
悪神アグニージャが 地上に現れ
地上は やみの光に包まれ、神々は
天空にお逃げになったのじゃ。

それから しばらくの間 暗黒の時代が続いたが やがて それも終わりを告げ天空に逃げた神々は 自分たちに
似た人を 地上においたのじゃ。

そして 神は人に アグニージャの
復活と 英雄の出現を 予言され
再び 地上に降りることは
なくなったのじゃ。

もう１つ 水晶の塔は 古代文明の
遺跡なのじゃ。","<X1e>Jira<X04>
Let me tell you a story from
ancient times.

Long ago, in the Age of Light,
the gods dwelt upon our world.

But there came a day when the
demon Agnija appeared. The world
was veiled in dark light, and the
gods fled into the heavens.

Yet the long and dreadful Age of
Darkness had its end as well.
And the departed gods put people
like themselves upon the earth.

They foretold that when Agnija
returns, heroes will appear,
and that devastation will never
again recur.

The Crystalspire is one remnant ofthat ancient civilization.<END>
<LOC0001><X1e>Clerk<X04><RETN>
<LOC0002><X1e>Soldier<X04><RETN>"
"e82d","<X1e>男<X04>
やっぱり 人間にとって
一番大切なのは 睡眠だよな。<IF0408><JUMPe870><IF0409><JUMPe870><END>
<LOCe870><SET0400>

お前らも 寝てみろよ 頭が
すっきりするぞ。","<X1e>Man<X04>
Sleep really is people's most
important need.<IF0408><JUMPe870><IF0409><JUMPe870><END>
<LOCe870><SET0400>

Get some sleep! You'll feel much
better afterwards."
"e89e","<X1e>男<X04>
なっ 頭が すっきりしただろ？","<X1e>Man<X04>
Well? Don't you feel better now?"
"e8c0","<X1e>男<X04>
<ASMe985><IF0404><JUMPe915>ありがとうございました。
でも 何もお礼が できないんです
ごめんなさい。<END>
<LOCe915>あっ 黄金のカードじゃないか !!

でも このカードを持っていると
ろくなことが ないからな。
おれは もう いらないよ。","<X1e>Man<X04>
<ASMe985><IF0404><JUMPe915>Thank you for everything.
I'm so sorry I can't do anything
to repay you.<END>
<LOCe915>Oh, that's my Golden Card!!

But I'd really rather not carry
that thing around anymore."
"e99e","<X1e>補佐官<X04>
ハンス大統領でさえ 危険な目に
あうなんて 相当手ごわい
バケモノなんだな。","<X1e>Aide<X04>
Only a truly dreadful monster
could threaten even President
Hans."
"e9f0","<X1e>役人<X04>
大統領が帰ってきたら 仕事がへると
思ったのに 全然変わらないんだ。
今日も残業だよ。","<CALL0001>I hoped with President Hans back,
there'd be less to do, but nothinghas changed! Overtime, again!"
"ea4a","<X1e>役人<X04>
あの方のことは ご心配なく
私どもに お任せください。","<CALL0001>Please leave him to us. There's
no need to be concerned."
"ea85","<X1e>役人<X04>
ふぅ ･ ･ ･ お役所仕事も 疲れるよ。こうやって 一日中 ボーっと
してなけりゃ ならないんだもんな。","<CALL0001>Yawn... Bureaucracy is exhausting.I have to sit here just staring
at the wall all day."
"eaeb","<X1e>役人<X04>
ハンス大統領が 無事に帰ってきて
本当によかったわ。","<CALL0001>I'm so glad President Hans is
back safely."
"eb25","<X1e>女<X04>
ハンス大統領は もう少しで 命を
落とすところだったんですって。
でも 無事でよかったわ。","<X1e>Woman<X04>
They say the President came very
close to losing his life. I'm
glad he's safe."
"eb80","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。","<X1e>Priest<X04>
Please speak with me whenever
you are troubled."
