"e0e1","<X08>誰の呪文の書にサイレスの呪文を
書き込みますか？<RETN>","<X08>In whose spellbook will Sylis
be scribed?<RETN>"
"e7d1","<LEADERe7ec,e80a,e7ec,e7ec,e7ec>

<X1e>ゲイル<X04>
あ !!","<LEADERe7ec,e80a,e7ec,e7ec,e7ec>

<X1e>Gail<X04>
Ack!!"
"e7ec","ん !?
ゲ、ゲイルじゃないか !!<RET_IL>","Huh?
Is that... Gail?!<RET_IL>"
"e80a","お !?
ゲ、ゲイルじゃないか !!<RET_IL>","Oh!
Could that be... Gail?<RET_IL>"
"e828","<LEADERec91,ec9f,ec91,ec91,ec91>どうしたんだ、こんな所で。

<X1e>ゲイル<X04>
久しぶりだな。
王子さまたちが あんまりドジなんで
とっても 見てられなくてな ･ ･ ･

<LEADERecaf,ed5e,ecaf,ecaf,ecaf>

<X1e>ゲイル<X04>
よ、よしてくれよ、照れくせぇ。
そんなこと 気にしちゃ いねえよ。

そんなことより、
こいつを 探していたんだろ。

<LEADERee07,ee0e,ee07,ee07,ee07>こ、これは
石碑のかけら じゃないか !!
どうして これを !! ･ ･ ･。

<X1e>ゲイル<X04>
実は あんたたちと 別れてから
ひとりで考えたんだ。

あの時は 一時の感情にかられて
飛び出してしまったが
よく考えてみると ローの言うことも
当然だったんじゃないかと。

それで、あんたたちの誤解をといて
また仲間に加えてもらおうと
こっそり 後をつけていたんだ。

<LEADERee0f,ee0f,ee0f,ee0f,ee0f>ひょっとして、マスクーンの町で
アクダムに やられた時に
助けてくれたのは ･ ･ ･

<X1e>ゲイル<X04>
ああ、あんときは びっくりしたぜ。
いきなり やられちまうんだもんな。

まあ、そんなわけで あんたたちの
後を つけていたら 今朝早く
ローの奴がひとりで こっそり
抜け出して いきやがったんだ。

そこで、後を つけてきたら
こともあろうか 石碑をえぐりとって
そのかけらを 塔の外に 捨てやがった。そいつを 拾ってきたってわけよ。

<LEADERee10,eea6,ee10,ee10,ee10>

<X1e>ゲイル<X04>
何言ってんだ もともと そのつもりさ。また よろしく 頼むぜ。


<X1e>ゲイル<X04><X1c>が仲間に加わりました。<X0c0301><X04><SET009c><CLEAR0400>","<LEADERec91,ec9f,ec91,ec91,ec91>Why are you here?

<X1e>Gail<X04>
Hey again, Prince.
Couldn't stand watching you
bumble around...

<LEADERecaf,ed5e,ecaf,ecaf,ecaf>

<X1e>Gail<X04>
C-cut it out! Don't make this
awkward! I don't give a damn aboutany of it, okay?

More importantly, I think you'll
be wantin' this.

<LEADERee07,ee0e,ee07,ee07,ee07>The missing piece of
the tablet?! Where did you...?

<X1e>Gail<X04>
I've actually been thinkin' a lot
on my own, since I left.

It was just the heat of the momentwhen I ran off. But when I really
thought about it, I started
wonderin' if maybe Ro was right.

So I was trailin' ya, thinkin'
maybe I'd clear the air and ask tojoin up again.

<LEADERee0f,ee0f,ee0f,ee0f,ee0f>After we fought Achdam... Was
that you who helped us?

<X1e>Gail<X04>
Yeah... that was a real shock.
Seein' y'all get thrashed like
that.

Anyway, that's how I spotted Ro
sneakin' off on his own this
morning. 

So I tracked him here. Just like
you said, he dug out a chunk of
that tablet and tossed it outta
the tower. And I picked it up.

<LEADERee10,eea6,ee10,ee10,ee10>

<X1e>Gail<X04>
What're you talkin' about? Wasn't
that the plan all along?
It's good to see y'all again.


<X1e>Gail<X04><X1c> joined the party.<X0c0301><X04><SET009c><CLEAR0400>"
"ec91","ゲ、ゲイル !!<RETN>","G-Gail!!<RETN>"
"ec9f","おお、ゲイル !!<RETN>","Gail!<RETN>"
"ecaf","ゲイル、すまなかった。
泥棒の犯人は どうやら ローだった
らしいんだ。

ぼくたちは 決して君のことを
疑わなかったとは 言いきれない。
わずかでも 疑ったことを 心から
あやまりたい。<RET_IL>","I'm so sorry, Gail! Ro was the
thief all along!

We should never have doubted you.
Not even for a second. From the
bottom of my heart, I'm sorry!<RET_IL>"
"ed5e","ゲイル、おわびの しようも ない。
あの泥棒さわぎの犯人は どうやら
ローだったらしい。

たとえ わずかでも 君のことを疑った自分を 私は 恥ずかしく思う。
心から おわびしたい。<RET_IL>","Gail, I can't apologize enough.
It seems that our burglar was
Ro all along.

I'm deeply embarassed that I ever
doubted you, even for a second.
From the bottom of my heart,
I apologize.<RET_IL>"
"ee07","え !? <RET_IL>","T-that's...! <RET_IL>"
"ee0e","<RET_IL>","<RET_IL>"
"ee0f","<RET_IL>","<RET_IL>"
"ee10","そうか、ゲイル ありがとう。
これで、アクダムを倒し
父さんや じいの かたきを討てるよ。

ところで、ゲイル。
もう一度 ぼくらの仲間になって
くれないかい？<RET_IL>","Thank you, Gail!
With this, we can beat Achdam
and avenge Lyas and my father!

Gail... are you still willing
to travel with us?<RET_IL>"
"eea6","そうか、ゲイル ありがとう。
これで、アクダムを倒し 国王や
ライアス殿の かたきが討てる。

ところで、ゲイル。
もう一度仲間になってはくれまいか？<RET_IL>","I see. Gail, thank you.
This will allow us to defeat
Achdam, and avenge Lyas and the
king.

Would you still be willing to
travel with us?<RET_IL>"
