"e621","<CH1>
王子。
アクダムは すぐそこです !!","<CH1>
Achdam is right here, your
Highness!"
"eb1a","このペンダントには ギルモアの涙と
呼ばれる宝石がはめ込まれています。

ギルモアの涙には 世界を 破滅させる力があると 言われています。
このペンダントを お守り代わりに
持っていきなさい。

<X0e><X1c>を もらいました。<X0c0301><X04>

<RET_IL>","This pendant is set with a jewel
called the Gilmoran Tear. 

The Tear is said to hold the powerto destroy the world. Please keep
it with you as a protective
talisman.

<X1c>Received <X04><X0e><X1c>.<X0c0301><X04>

<RET_IL>"
"ebe9","<X1e>アロン<X04>
フェリシアさまは 私たちが お守り
いたします。
<PAGE>
心おきなく かたき討ちを
はたしてきて くださいませ。","<X1e>Alon<X04>
We will protect Queen Felicia.
<PAGE>
You may devote yourself fully 
to delivering vengeance."
"ec55","<X1e>ソニア<X04>
私も 王子さまと一緒に 行きたいけどここで王妃さまを お守りすることに
します。","<X1e>Sonia<X04>
I wish I could go with your
Highness, but I'll be protecting
her Majesty here."
"ecab","<X1e>兵士の隊長<X04>
待て !!
お前たちの かなう相手ではない。
おれが相手に なってやる !!","<X1e>Guard captain<X04>
Stop!! You're no match for them.
Let me take care of this!"
"ecfb","<X1e>兵士<X04>
アクダムさま !!","<X1e>Guard<X04>
King Achdam!!"
"ed12","<X1e>アクダム<X04>
うううっ !! よくも、よくも、
こうなっては 仕方がない。

今日のところは 退散するが、これで
勝ったと 思うなよ !!
必ずや世界を 我が物にしてみせる !!

ものども 引け !!","<X1e>Achdam<X04>
Urghhh!! There's no way I'll let
you do this to me!

I may be withdrawing for now, but
don't think you've won here!
Make no mistake; the world will
still be mine!!

Pull back, you worthless rabble!!"
"edbf","<X1e><IF0029><JUMPedcb>男<JUMPedcf><LOCedcb>兵士<LOCedcf><X04>
アクダムは うらで モンスターと
つながっていたようで ございます。","<X1e><X122900><JUMPedcb>Man<JUMPedcf><LOCedcb>Soldier<LOCedcf><X04>
Achdam seems to have had some
hidden connection with the
monsters."
"ee12","<X1e><IF0029><JUMPee1e>男<JUMPee22><LOCee1e>兵士<LOCee22><X04>
ネリアの港には 強い武器を売る
やみの商人が 住んでいるという
うわさで ございます。","<X1e><X122900><JUMPee1e>Man<JUMPee22><LOCee1e>Soldier<LOCee22><X04>
Supposedly, there's a shady
merchant who lives in Neria Harborand sells powerful weapons."
"ee76","<X1e><IF0029><JUMPee82>男<JUMPee86><LOCee82>兵士<LOCee86><X04>
王妃さまのことなら ご心配なく。
私どもが 命にかえても
お守り いたします。","<X1e><X122900><JUMPee82>Man<JUMPee86><LOCee82>Soldier<LOCee86><X04>
Don't worry about her Majesty. We
will lay down our lives to protecther."
"eed2","<X1e>フェリシア<X04>
セリオス !!
おぎょうぎの 悪いことは
おやめなさい !!","<X1e>Felicia<X04>
Selios!! Please don't be
so ill-mannered!"
