"*","Colx (After rescuing Hans)"
"e91a","<X1e>兵士<X04>
危ないところを 助けていただいて
ありがとうございました。

はじめて 会った時から ただ者では
ないと 思ってましたよ。","<X1e>Soldier<X04>
Thanks for getting us out of a
rough spot.

I knew from the start that you
aren't just ordinary people."
"e993","<X1e>兵士<X04>
我々の代わりに バジールを
倒してくれるんだって ？
気をつけてくれよ。","<X1e>Soldier<X04>
You're going to fight Beziel for
us? Be careful!"
"e9df","<X1e>兵士<X04>
やっぱり おれたちは 大雨の時の
堤防作りを していたほうが
よさそうだな。","<X1e>Soldier<X04>
I knew we should have stuck to
building levees after rainstorms."
"ea2e","<X1e>ジーラ<X04>
わしは 古くから伝わる伝説を
知っているのじゃ。
その伝説を 教えてやろう。

かつて この地上には 神々が住み
光の時代が続いておった。

しかし、ある日 突然
悪神アグニージャが 地上に現れ
地上は やみの光に包まれ、神々は
天空にお逃げになったのじゃ。

それから しばらくの間 暗黒の時代が続いたが やがて それも終わりを告げ天空に逃げた神々は 自分たちに
似た人を 地上においたのじゃ。

そして 神は人に アグニージャの
復活と 英雄の出現を 予言され
再び 地上に降りることは
なくなったのじゃ。

もう１つ 水晶の塔は 古代文明の
遺跡なのじゃ。","<X1e>Jira<X04>
Let me tell you a story from
ancient times.

Long ago, in the Age of Light,
the gods dwelt upon our world.

But there came a day when the
demon Agnija appeared. The world
was veiled in dark light, and the
gods fled into the heavens.

Yet the long and dreadful Age of
Darkness had its end as well.
And the departed gods put people
like themselves upon the earth.

They foretold that when Agnija
returns, heroes will appear,
and that devastation will never
again recur.

The <CALL0002> is one remnant ofthat ancient civilization."
"ec3c","<X1e>男<X04>
やっぱり 人間にとって
一番大切なのは 睡眠だよな。<IF0408><JUMPec7f><IF0409><JUMPec7f><END>
<LOCec7f><SET0400>

お前らも 寝てみろよ 頭が
すっきりするぞ。","<X1e>Man<X04>
Sleep really is people's most
important need.<IF0408><JUMPec7f><IF0409><JUMPec7f><END>
<LOCec7f><SET0400>

Get some sleep! You'll feel much
better afterwards."
"ecad","<X1e>男<X04>
なっ 頭が すっきりしただろ？","<X1e>Man<X04>
Well? Don't you feel better now?"
"eccf","<X1e>男<X04>
<IF01f7><JUMPed21>ありがとうございました。
でも 何もお礼が できないんです
ごめんなさい。<END>
<LOCed21>あっ 黄金のカードじゃないか !!

でも このカードを持っていると
ろくなことが ないからな。
おれは もういらないよ。","<X1e>Man<X04>
<IF01f7><JUMPed21>Thank you for everything.
I'm so sorry I can't do anything
to repay you.<END>
<LOCed21>Oh, that's my Golden Card!!

But I'd really rather not carry
that thing around anymore."
"ed90","<X1e>補佐官<X04>
ハンス大統領でさえ 危険な目に
あうなんて 相当手ごわい
バケモノなんだな。","<X1e>Aide<X04>
Only a truly dreadful monster
could threaten even <CALL0001>
Hans."
"ede2","<X1e>役人<X04>
大統領が帰ってきたら 仕事がへると
思ったのに 全然変わらないんだ。
今日も残業だよ。","<X1e>Clerk<X04>
I hoped with <CALL0001> Hans back,
there'd be less to do, but nothinghas changed! Overtime, again!"
"ee3c","<X1e>役人<X04>
ここは 大統領専用の寝室だ
むやみに立ち入っては ならん。","<X1e>Clerk<X04>
This is the <CALL0001>'s private
bedroom. Please don't just wander
in on a whim."
"ee7b","<X1e>役人<X04>
ふぅ ･ ･ ･ お役所仕事も 疲れるよ。こうやって 一日中 ボーっと
してなけりゃ ならないんだもんな。","<X1e>Clerk<X04>
Yawn... Bureaucracy is exhausting.I have to sit here just staring
at the wall all day."
"eee1","<X1e>役人<X04>
ハンス大統領が 無事に帰ってきて
本当によかったわ。","<X1e>Clerk<X04>
I'm so glad <CALL0001> Hans is
back safely."
"ef1b","<X1e>女<X04>
ハンス大統領は もう少しで 命を
落とすところだったんですって。
でも 無事でよかったわ。","<X1e>Woman<X04>
They say the <CALL0001> came very
close to losing his life. I'm
glad he's safe."
"ef76","<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。","<X1e>Priest<X04>
Please speak with me whenever
you are troubled.<END>
<LOC0001>President<RET_IL><LOC0002>Crystalspire<RET_IL>"
