"*","Crystalspire basement"
"eac3","きさま 覚悟しろ !<RET_IL>","You!! Take this!<RET_IL>"
"ead5","てめえ よくも やりやがったな
覚悟しろ !<RET_IL>","Glad ya could join us!
Take this!!<RET_IL>"
"eafd","よくもやったわね 覚悟なさい !<RET_IL>","Decided to show yourself, huh?
Take this!<RET_IL>"
"eb1b","<LEADEReb27,eb3d,eb27,eb4b,eb5b>","<LEADEReb27,eb3d,eb27,eb4b,eb5b>"
"eb27","あれっ どうしたんだ？<RET_IL>","Huh? What happened?<RET_IL>"
"eb3d","むっ なぜだ？<RET_IL>","W-What?<RET_IL>"
"eb4b","なんだ こりゃ？<RET_IL>","What the hell?!<RET_IL>"
"eb5b","あらっ 何これ？<RET_IL>","Oh! What...?<RET_IL>"
"eb6b","<X1e>バジール<X04>
ハッハッハ<WAIT>
このおれに 攻撃などしても ムダだ。

お前らが 今 考えていることを
当ててやろう。
<PAGE>
ここにいるおれは たんなる幻で
実体は どこか別の所に いるに
違いない。おそらく 水晶の塔の
最上階に いるので あろうとな。

ハッハッハ
おれには 人の心を読む力が あるのだ。お前らの 想像どおり おれの実体は
水晶の塔の最上階にいる。
<PAGE>
しかし、光のエレベーターの
起動装置は その最上階にいる
実体が 持っているのだ。

お前らが おれの実体に 近づくことは永久に不可能だ。
町に戻って あの大統領にも
伝えるがいい。

いずれ 改めて あいさつに
行ってやるとな。","<X1e>Beziel<X04>
Ha ha ha!<WAIT>
It's pointless to attack me!

Now, let me guess what you're
thinking.
<PAGE>
You think this is just a 
projection, and that my real body
must elsewhere. On the highest
floor of this tower, perhaps?

Ha ha ha!
Your minds are an open book to me!Just as you imagine, my real body
is on the highest floor.

And the activation device for the
Elevator of Light is in its
possession.

Therefore, my real body is foreverbeyond your reach. Now, return to
town, and explain this to your
President.

I will greet him again soon
enough."
"ed88","<LEADERedc9,ede1,edc9,edfb,ee0f>

<X1e>ラルフ<X04>
へ ･ ･ 平気だ。
皮袋の中に ワプの羽がある。","<LEADERedc9,ede1,edc9,edfb,ee0f>

<X1e>Ralph<X04>
I-I'll be fine.
I have a Warp Feather in my bag."
"edc9","大丈夫かい ラルフさん。<RET_IL>","Are you all right?<RET_IL>"
"ede1","大丈夫ですか ラルフさん。<RET_IL>","Are you all right, Ralph?<RET_IL>"
"edfb","大丈夫か おっさん。<RET_IL>","You okay, doc?<RET_IL>"
"ee0f","大丈夫 ラルフさん。<RET_IL>","Ralph! Are you all right?<RET_IL>"
