"ea2d","ちまたでは リストン伯爵に対する
不満の声が 高まっておるようです。
あの方も 救われませんな。","More people are speaking against
Count Liston now. There may be
no hope for him."
"ea89","バーバラに ひどい仕打ちをした
リストン伯爵には いつか竜の怒りが
落ちるだろうと 皆うわさしてます。","People are saying that the Dragon
will punish Count Liston for
treating Barbara so poorly."
"eaeb","たった４人で ソルディスへ
向かわれると いうのですか？
神の ご加護があることを祈ります。","The four of you are going to
Soldythe on your own? I pray
that the gods keep you safe."
"eb43","国境の洞窟には かつて何かに
使われていたと 思われる 古代の
水門が あるそうです。","There's an old watergate in the
Border Cave. It must have been
used for something once."
"eb94","怪物どもが いなくなってから
城下町の酒場は さっそく 人で
いっぱいに なったそうです。","Now that the monsters are gone,
people are already crowding into
the bar in the city."
"ebe9","<CALLedda>、ソルディスには
奴隷市場が あるそうで ございます。

奴隷商人に売られてしまった娘たちは多分 その市場にいると思われます。","I have heard that there is a
slave market in Soldythe, your
Highness.

The women who were sold into
slavery may be there."
"ec64","<CALLedda>、ソルディスには
変わった物ばかり 発明している男が
いるそうです。","Your Highness, I understand that
there is a man in Soldythe who is
constantly inventing odd things."
"eca9","ジェルマンさまが リストンの館に
隠してあった金を 城に持ち帰って
きてくれました。

あれだけ たくさんの お金が あれば
きっと この国も豊かになるでしょう。でも あの兄弟の ことだから ･ ･ ･","Prince Jelman has returned the
money he hid in Liston's manor
to the castle.

That should be enough to make
Lanoura prosper. But what to do
about those two...?"
"ed60","<CALLedda>、聞いてくださいませ。

なんでも あのジェルマンさまが
年がいもなく ソルディスの姫君に
思いをよせておるそうです。","I believe this is important,
<CALLedda>.

I understand that Prince Jelman 
may be harboring feelings for the
princess of Soldythe. Given her
age, that is most inappropriate."
"edd3","<X1e>兵士<X04><RETN>","<X1e>Soldier<X04><RETN>"
"edda","エリオンさま<RET_IL>","Prince Aerion<RET_IL>"
